id P0_x P0_y P1_x P1_y P2_x P2_y P3_x P3_y
B44 -65.33 12.24 -65.42 7.01 -67.60 7.05 -67.56 12.21
B45 -48.44 12.24 -48.34 7.09 -50.56 7.10 -50.68 12.25
B46 -45.99 12.23 -45.94 7.10 -48.19 7.08 -48.31 12.23
B47 -43.65 12.25 -43.56 7.09 -45.79 7.10 -45.80 12.22
B48 -40.02 12.26 -40.04 7.11 -42.30 7.11 -42.27 12.26
B49 -36.57 12.31 -36.50 7.16 -38.74 7.13 -38.80 12.27
B50 -34.17 12.24 -34.15 7.20 -36.35 7.14 -36.42 12.30
B51 -31.74 12.26 -31.73 7.24 -33.91 7.15 -33.97 12.31
B52 -28.13 12.38 -28.18 7.22 -30.47 7.21 -30.35 12.37
B53 -25.71 12.39 -25.77 7.24 -28.05 7.22 -27.95 12.36
B54 -23.30 12.41 -23.34 7.24 -25.63 7.22 -25.53 12.37
B55 -19.74 12.38 -19.72 7.14 -21.96 7.13 -21.99 12.32
B56 -17.34 12.35 -17.32 7.12 -19.56 7.10 -19.59 12.29
B57 -14.96 12.38 -14.94 7.15 -17.18 7.13 -17.20 12.33
B58 -11.32 12.41 -11.23 7.15 -13.52 7.13 -13.55 12.41
B59 -8.93 12.42 -8.84 7.14 -11.12 7.12 -11.16 12.43
B60 -6.54 12.43 -6.45 7.17 -8.72 7.15 -8.76 12.42
B61 -25.47 20.34 -25.48 25.54 -23.39 25.49 -23.38 20.38
E01 2.33 34.83 7.49 34.86 7.43 32.60 2.33 32.59
E02 2.34 37.22 7.50 37.25 7.44 34.99 2.35 34.97
E03 2.35 39.60 7.50 39.63 7.44 37.37 2.35 37.34
E04 2.34 42.00 7.49 42.04 7.47 39.82 2.36 39.74
E05 -5.52 32.50 -10.62 32.52 -10.64 34.74 -5.54 34.77
E06 -5.51 34.91 -10.63 34.88 -10.63 37.14 -5.50 37.17
E07 -5.53 37.31 -10.63 37.28 -10.64 39.54 -5.51 39.56
E08 -5.49 39.69 -10.65 39.71 -10.66 41.94 -5.52 41.93
E09 -11.18 43.01 -11.25 37.87 -13.49 37.84 -13.42 42.98
E10 -14.86 43.03 -14.92 37.88 -17.16 37.85 -17.10 43.00
E11 -17.26 43.02 -17.33 37.88 -19.56 37.85 -19.50 42.99
E12 -19.67 42.95 -19.72 37.80 -21.95 37.77 -21.90 42.91
E13 -25.58 42.86 -25.59 37.79 -27.82 37.82 -27.83 42.88
